Name           Prompt     t90    Afglw90    dt90      Afglw      dttot
Event505     6.15e-02   45.77   1.55e+02   52.80   2.17e+03  143000.00 
Event509     1.23e-02   13.31   7.63e+00   15.10   1.03e+03  130000.00 
Event515     2.71e+00  204.01   2.97e+02  254.00   4.52e+04  112000.00 
Event518     3.36e+00  164.90   1.38e+03  177.00   1.53e+04  113000.00 
Event519     0.00e+00   17.01   4.66e-07   18.10   4.12e+03  114000.00 
Event521     5.41e-01   60.40   1.07e+02   62.90   1.21e+04  133000.00 
Event524     1.30e-03    6.78   8.65e-03    7.97   8.78e+02  141000.00 
Event527     6.85e-01  162.25   8.90e+03  197.00   2.09e+04  139000.00 
Event529     1.32e+00   30.61   7.07e+01   34.30   3.07e+02  124000.00 
Event535     1.76e-05   26.89   8.29e-06   32.80   7.61e+02  118000.00 
Event546     1.21e-02    1.37   1.04e-05    1.69   8.08e+01  119000.00 
Event549     1.61e+00   50.04   2.24e+00   53.80   7.56e+02  124000.00 
Event556     1.55e-13   11.49   1.49e-08   14.40   9.33e+02  140000.00 
Event557     7.71e-01   18.66   2.08e+01   20.20   3.59e+04  126000.00 
Event573     1.83e-01   24.74   2.37e-03   31.40   7.21e+02  117000.00 
Event577     5.28e-01   44.02   1.02e+02   46.70   2.31e+04  135000.00 
Event582     2.18e-01    6.13   4.03e-02    6.41   2.94e+03  137000.00 
Event589     1.46e+00   23.43   5.07e+01   24.50   1.21e+04  135000.00 
Event592     7.89e-03   37.05   1.00e-04   43.70   5.90e+03  135000.00 
Event593     1.25e+02   12.50   1.13e+04   15.30   3.30e+05  122000.00 
Event594     9.15e-02   18.02   1.16e+01   19.00   1.81e+04  135000.00 
Event595     5.14e-02    3.35   4.59e-04    4.05   3.10e+02  105000.00 
Event604     6.52e-01   26.05   2.39e+00   29.30   2.29e+04  114000.00 
Event606     3.22e-01  118.43   3.21e+03  127.00   1.22e+04  136000.00 
Event610     1.33e-15   51.50   6.29e-02   55.00   5.37e+03  132000.00 
Event614     4.21e-05   13.83   1.07e-05   14.80   3.04e+03  119000.00 
Event628     1.85e+00   57.34   1.28e+04   61.60   3.00e+05  132000.00 
Event631     6.76e-22    2.61   4.18e-11    3.77   3.20e+02  145000.00 
Event632     3.28e-06   45.28   5.63e-01   52.30   5.00e+03  128000.00 
Event633     1.41e-02   22.15   3.55e-05   22.80   3.21e+03  113000.00 
Event637     5.09e-02   17.26   1.99e-03   21.00   2.18e+03  128000.00 
Event638     4.76e-12   10.11   6.53e-08   11.50   2.47e+03  134000.00 
Event639     8.36e-06   15.97   8.76e-05   19.70   2.02e+03  124000.00 
Event642     3.79e-01    8.53   1.14e-01    9.70   6.36e+02  122000.00 
Event643     5.08e-01   22.14   8.30e+01   26.70   5.01e+03  134000.00 
Event647     2.65e-01   55.46   4.69e+02   59.90   1.58e+03  122000.00 
Event648     1.64e-04   38.34   4.67e-04   43.90   3.77e+03  142000.00 
Event654     0.00e+00    7.23   6.23e-05    7.54   4.66e+02  123000.00 
Event662     7.77e-01   38.57   2.28e+02   45.00   1.96e+04  130000.00 
Event665     3.97e-01   28.63   1.91e-03   29.10   2.51e+03  118000.00 
Event666     6.23e-01   30.02   4.35e+00   36.60   1.28e+04  112000.00 
Event670     3.51e+01  426.17   1.52e+05  452.00   3.12e+05  138000.00 
Event676     1.33e+00  117.14   7.51e+02  139.00   1.60e+05  127000.00 
Event677     5.70e-04   45.14   2.24e-01   53.20   1.49e+04  128000.00 
Event679     2.08e-01    8.29   5.81e-02   10.00   2.01e+03  127000.00 
Event682     1.30e-01   44.54   6.54e+00   52.90   2.73e+04  124000.00 
Event683     2.69e-01   19.79   3.92e+01   24.70   2.90e+03  133000.00 
Event685     8.39e+00   36.85   2.56e+03   41.60   9.54e+03  123000.00 
Event687     5.61e-17   22.89   2.31e-07   23.00   2.52e+03  133000.00 
Event689     1.19e-01   13.64   1.87e-01   14.20   1.78e+03  137000.00 
Event693     1.69e-01    5.92   1.23e-03    6.48   4.27e+02  119000.00 
Event694     3.47e+00   30.36   2.13e+03   35.30   1.18e+04  116000.00 
Event699     2.83e-01   88.91   2.96e+03   99.10   2.44e+04  140000.00 
Event701     7.34e+00    7.15   2.69e+02    7.61   2.08e+04  131000.00 
Event702     3.17e-01   27.42   1.42e-02   31.20   2.67e+04  126000.00 
Event705     2.94e-01   11.14   3.19e-01   13.20   3.73e+02  141000.00 
Event709     2.25e+01  594.28   9.07e+04  623.00   2.29e+05  139000.00 
Event716     3.72e+00  131.62   7.64e+03  163.00   2.32e+04  138000.00 
Event727     3.51e-01   48.74   2.25e+03   58.90   1.52e+04  117000.00 
Event729     1.86e-01   25.41   9.08e-02   28.00   6.57e+03  140000.00 
Event733     7.64e-11    2.01   7.56e-11    3.02   3.68e+02  137000.00 
Event742     2.75e-01    3.19   6.51e-04    3.27   2.19e+03  135000.00 
Event744     1.71e-01   87.00   4.60e+02  108.00   9.65e+02  128000.00 
Event755     5.83e-05    1.67   1.80e-09    1.93   9.09e+02  132000.00 
Event758     2.18e-02    4.81   9.71e-05    6.31   2.89e+03  111000.00 
Event761     0.00e+00    2.43   3.38e-15    3.77   1.39e+01  109000.00 
Event765     8.35e+00  252.92   1.91e+04  288.00   6.35e+04  116000.00 
Event769     8.46e-02   17.44   4.08e-02   17.80   1.78e+04  123000.00 
Event770     4.17e-03    7.36   7.30e-08    9.21   2.37e+02  114000.00 
Event771     1.64e+00  780.47   4.18e+04  858.00   8.27e+04  136000.00 
Event772     5.63e+00  345.50   1.51e+05  429.00   4.87e+05  128000.00 
Event775     5.77e-01   28.97   8.62e+02   29.50   1.15e+04  136000.00 
Event779     1.06e-02   52.88   2.05e+00   63.80   9.55e+03  132000.00 
Event789     6.74e-04   18.03   1.89e-03   23.50   5.38e+03  133000.00 
Event796     5.22e-01   21.75   2.20e+01   27.10   1.97e+04  121000.00 
Event800     2.10e-02   40.18   2.10e-02   41.30   2.69e+04  136000.00 
Event802     0.00e+00  129.08   2.62e-03  154.00   8.34e+04  122000.00 
Event813     1.02e+00   80.51   3.74e+03   86.40   2.00e+04  127000.00 
Event814     1.46e+00   15.32   3.16e+00   16.60   3.01e+04  116000.00 
Event815     5.71e+01  159.29   4.65e+05  186.00   1.01e+07  138000.00 
Event816     4.16e-02    7.94   1.06e-05    9.42   3.86e+02  142000.00 
